"Accident.Number","Date.and.Time","Number.of.Motor.Vehicles","Number.of.Injuries","Number.of.Fatalities","Property.Damage","Hit.and.Run","Collision.Type.Description","Weather.Description","Illumination.Description","Street.Address","City","Precinct","Latitude","Longitude","HarmfulDescriptions","Zip.Code","Year","Month","Season","Hour","Weekday","DayType","Accident","Fatality_category"
9.97025696070702e-314,2018-01-09 00:30:00,2,0,0,NA,"Y","Front to Rear","RAIN","DARK - NOT LIGHTED","VANTAGE WAY & FRENCH LANDING DR","NASHVILLE","NORTH",36.19112,-86.7972,"MOTOR VEHICLE IN TRANSPORT","37228","2018","January","Winter","00","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025697009427e-314,2018-01-09 01:14:00,2,0,0,NA,"Y","SIDESWIPE - SAME DIRECTION","RAIN","DARK - LIGHTED","MM 91 9 I 65","MADISON","MADISO",36.25961,-86.73828,"MOTOR VEHICLE IN TRANSPORT","37115","2018","January","Winter","01","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025698293998e-314,2018-01-08 06:00:00,2,0,0,NA,"N","HEAD-ON","RAIN","DARK - LIGHTED","OLD MURFREESBORO PKE & SMITH SPRINGS RD","NASHVILLE","HERMIT",36.09677,-86.65456,"MOTOR VEHICLE IN TRANSPORT","37217","2018","January","Winter","06","Monday","Weekday","No Injuries","No Fatalities"
9.97025703432281e-314,2018-01-09 00:35:00,2,1,0,NA,"Y","ANGLE","RAIN","DARK - LIGHTED","MURFREESBORO PKE & LESTER AV","NASHVILLE","HERMIT",36.14553,-86.75253,"MOTOR VEHICLE IN TRANSPORT","37210","2018","January","Winter","00","Tuesday","Weekday","Injuries","No Fatalities"
9.9702570372872e-314,2018-01-09 01:47:00,2,1,0,NA,"N","Front to Rear","RAIN","DAYLIGHT","MM 93 9 I 65","MADISON","MADISO",36.28699,-86.72672,"MOTOR VEHICLE IN TRANSPORT","37115","2018","January","Winter","01","Tuesday","Weekday","Injuries","No Fatalities"
9.97025705062697e-314,2018-01-09 02:30:00,2,0,0,NA,"N","Front to Rear","RAIN","DARK - LIGHTED","ELLINGTON PKWY N ENT RAMP & E TRINITY LN","NASHVILLE","EAST",36.20466,-86.74968,"MOTOR VEHICLE IN TRANSPORT","37216","2018","January","Winter","02","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025705952015e-314,2018-01-09 02:10:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - NOT LIGHTED","LAMBERT DR & FARRELL PKWY","NASHVILLE","MIDTOW",36.07466,-86.76918,"DITCH","37220","2018","January","Winter","02","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025707088366e-314,2018-01-09 02:56:00,1,1,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","BROOK HOLLOW RD & ROBIN HILL RD","NASHVILLE","WEST",36.10578,-86.88465,"WALL;Ran Off Road-Left","37205","2018","January","Winter","02","Tuesday","Weekday","Injuries","No Fatalities"
9.97025708521157e-314,2018-01-09 02:44:00,2,0,0,NA,"Y","ANGLE","RAIN","DARK - LIGHTED","PACKARD DR & CREEKSIDE DR","ANTIOCH","SOUTH",36.06405,-86.69433,"MOTOR VEHICLE IN TRANSPORT","37013","2018","January","Winter","02","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025710744452e-314,2018-01-09 03:15:00,2,0,0,NA,"N","Front to Rear","RAIN","DUSK","MM 212 1 I 40","NASHVILLE","HERMIT",36.14662,-86.743,"MOTOR VEHICLE IN TRANSPORT","37210","2018","January","Winter","03","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025710991485e-314,2018-01-09 02:45:00,2,0,0,NA,"N","ANGLE","RAIN","DARK - LIGHTED","BELMONT BLVD & KIRKWOOD AV","NASHVILLE","MIDTOW",36.12181,-86.79483,"MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE","37212","2018","January","Winter","02","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025712868934e-314,2018-01-09 00:23:00,2,0,0,NA,"Y","Front to Rear","RAIN","DARK - LIGHTED","MANSFIELD ST & NEILL AV","NASHVILLE","EAST",36.18269,-86.7598,"PARKED MOTOR VEHICLE","37206","2018","January","Winter","00","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025713363e-314,2018-01-09 03:54:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - NOT LIGHTED","COLEY DAVIS RD & HARPETH YOUTH SOCCER PV","NASHVILLE","WEST",36.07955,-86.9587,"UTILITY POLE","37221","2018","January","Winter","03","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025719143568e-314,2018-01-09 03:32:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","KEELEY DR & KEELEY CT","ANTIOCH","SOUTH",36.06128,-86.69673,"MAIL BOX","37013","2018","January","Winter","03","Tuesday","Weekday","No Injuries","No Fatalities"
9.9702575837238e-314,2018-01-09 10:26:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","MCMURRAY DR & MCMURRAY CT","NASHVILLE","MIDTOW",36.05505,-86.73482,"MAIL BOX","37211","2018","January","Winter","10","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025768895979e-314,2018-01-09 12:17:00,3,0,0,NA,"Y","ANGLE","RAIN","DAWN","MM 87 0 I 65","NASHVILLE","EAST",36.20215,-86.77685,"MOTOR VEHICLE IN TRANSPORT","37207","2018","January","Winter","12","Tuesday","Weekday","No Injuries","No Fatalities"
9.970257713169e-314,2018-01-09 11:55:00,2,1,0,NA,"N","Front to Rear","RAIN","DAWN","STRASSER DR & NOLENSVILLE PKE","NASHVILLE","SOUTH",36.0601,-86.71634,"MOTOR VEHICLE IN TRANSPORT","37211","2018","January","Winter","11","Tuesday","Weekday","Injuries","No Fatalities"
9.97025772156812e-314,2018-01-09 12:55:00,2,0,0,NA,"N","SIDESWIPE - SAME DIRECTION","RAIN","DAWN","MM 43 9 I 24","NASHVILLE","NORTH",36.233,-86.78453,"MOTOR VEHICLE IN TRANSPORT","37207","2018","January","Winter","12","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025777492721e-314,2018-01-09 12:21:00,2,0,0,NA,"N","Front to Rear","RAIN","DAYLIGHT","CEDARMONT DR & CEDAR DR","ANTIOCH","SOUTH",36.0439,-86.70339,"MOTOR VEHICLE IN TRANSPORT","37013","2018","January","Winter","12","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025859804057e-314,2018-01-09 06:00:00,2,0,0,NA,"Y","Front to Rear","RAIN","UNKNOWN","MURFREESBORO PKE & DONELSON PKE","NASHVILLE","SOUTH",36.10621,-86.67306,"MOTOR VEHICLE IN TRANSPORT","37217","2018","January","Winter","06","Tuesday","Weekday","No Injuries","No Fatalities"
9.97025865979878e-314,2018-01-10 00:35:00,2,1,0,NA,"N","Front to Rear","RAIN","DARK - LIGHTED","CHARLOTTE AV & 35TH AVN","NASHVILLE","WEST",36.15275,-86.82689,"MOTOR VEHICLE IN TRANSPORT","37209","2018","January","Winter","00","Wednesday","Weekday","Injuries","No Fatalities"
9.97026105651123e-314,2018-01-11 03:50:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","PREMIER DR & COUGAR DR","NASHVILLE","WEST",36.14615,-86.87753,"MAIL BOX;SHRUBBERY;Ran Off Road-Right","37209","2018","January","Winter","03","Thursday","Weekday","No Injuries","No Fatalities"
9.9702612640188e-314,2018-01-11 08:05:00,1,1,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","EDMONDSON PKE & ELLINGTON CIR","NASHVILLE","MIDTOW",36.05999,-86.74108,"UTILITY POLE","37211","2018","January","Winter","08","Thursday","Weekday","Injuries","No Fatalities"
9.97026137221918e-314,2018-01-11 09:15:00,2,1,0,NA,"Y","Front to Rear","RAIN","DARK - LIGHTED","I24 E EXT RAMP & I 24","NASHVILLE","NORTH",36.04509,-86.65987,"MOTOR VEHICLE IN TRANSPORT","37207","2018","January","Winter","09","Thursday","Weekday","Injuries","No Fatalities"
9.97026143002486e-314,2018-01-11 09:00:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","MCCANN ST & 3RD AVS","NASHVILLE","SOUTH",36.15011,-86.76882,"OTHER OBJECT (NOT FIXED)","37210","2018","January","Winter","09","Thursday","Weekday","No Injuries","No Fatalities"
9.97026149227713e-314,2018-01-11 11:12:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","MORRIS GENTRY BLVD & MURFREESBORO PKE","ANTIOCH","SOUTH",36.06624,-86.63334,"CULVERT;DITCH;Ran Off Road-Right","37013","2018","January","Winter","11","Thursday","Weekday","No Injuries","No Fatalities"
9.97026151203975e-314,2018-01-11 11:27:00,2,2,0,NA,"N","ANGLE","RAIN","DARK - LIGHTED","MT VIEW RD & BELL RD","ANTIOCH","SOUTH",36.04998,-86.6495,"MOTOR VEHICLE IN TRANSPORT","37013","2018","January","Winter","11","Thursday","Weekday","Injuries","No Fatalities"
9.97026155798786e-314,2018-01-11 06:00:00,2,0,0,NA,"Y","SIDESWIPE - SAME DIRECTION","RAIN","UNKNOWN","BRILEY PKWYN & BRILEY PKWY N EXT RAMP","NASHVILLE","HERMIT",36.19721,-86.68768,"MOTOR VEHICLE IN TRANSPORT","37214","2018","January","Winter","06","Thursday","Weekday","No Injuries","No Fatalities"
9.97026157577422e-314,2018-01-11 12:47:00,2,1,0,NA,"N","ANGLE","RAIN","DAWN","OLD HICKORY BLVD & BURNING TREE DR","HERMITAGE","HERMIT",36.17426,-86.60241,"MOTOR VEHICLE IN TRANSPORT","37076","2018","January","Winter","12","Thursday","Weekday","Injuries","No Fatalities"
9.97026158170301e-314,2018-01-11 12:55:00,2,0,0,NA,"N","Front to Rear","RAIN","DARK - LIGHTED","MM 88 0 I 65","NASHVILLE","EAST",36.21517,-86.77539,"MOTOR VEHICLE IN TRANSPORT","37207","2018","January","Winter","12","Thursday","Weekday","No Injuries","No Fatalities"
9.97026158269114e-314,2018-01-11 12:44:00,2,0,0,NA,"N","Front to Rear","RAIN","DAWN","MM 221 4 I 40","HERMITAGE","HERMIT",36.16989,-86.59018,"MOTOR VEHICLE IN TRANSPORT","37076","2018","January","Winter","12","Thursday","Weekday","No Injuries","No Fatalities"
9.9702615861496e-314,2018-01-11 12:52:00,2,1,0,NA,"N","Front to Rear","RAIN","DAYLIGHT","MM 79 6 I 65","NASHVILLE","MIDTOW",36.10806,-86.76897,"MOTOR VEHICLE IN TRANSPORT","37204","2018","January","Winter","12","Thursday","Weekday","Injuries","No Fatalities"
9.97026254364882e-314,2018-01-12 00:40:00,2,1,0,NA,"N","ANGLE","RAIN","DARK - LIGHTED","NOLENSVILLE PKE & TUSCULUM RD","NASHVILLE","SOUTH",36.05907,-86.71622,"MOTOR VEHICLE IN TRANSPORT","37211","2018","January","Winter","00","Friday","Weekday","Injuries","No Fatalities"
9.97026257773935e-314,2018-01-12 00:30:00,2,0,0,NA,"N","HEAD-ON","RAIN","DARK - LIGHTED","ROBINSON RD & HADLEY AV","OLD HICKORY","HERMIT",36.25308,-86.64861,"MOTOR VEHICLE IN TRANSPORT","37138","2018","January","Winter","00","Friday","Weekday","No Injuries","No Fatalities"
9.97026267803468e-314,2018-01-12 01:09:00,2,0,0,NA,"N","Front to Rear","RAIN","DARK - LIGHTED","CHURCH ST & GEORGE L DAVIS BLVD","NASHVILLE","CENTRA",36.15841,-86.79061,"MOTOR VEHICLE IN TRANSPORT","37203","2018","January","Winter","01","Friday","Weekday","No Injuries","No Fatalities"
9.97026268050501e-314,2018-01-12 01:13:00,2,0,0,NA,"N","Front to Rear","RAIN","DARK - LIGHTED","7TH AVN & ROSA L PARKS BLVD","NASHVILLE","CENTRA",36.17124,-86.78857,"PARKED MOTOR VEHICLE","37219","2018","January","Winter","01","Friday","Weekday","No Injuries","No Fatalities"
9.9702626834694e-314,2018-01-12 02:15:00,2,1,0,NA,"Y","Front to Rear","RAIN","DARK - LIGHTED","MM 211 6 I 40","NASHVILLE","HERMIT",36.15089,-86.75004,"MOTOR VEHICLE IN TRANSPORT;CONCRETE TRAFFIC BARRIER","37210","2018","January","Winter","02","Friday","Weekday","Injuries","No Fatalities"
9.9702627007617e-314,2018-01-12 02:26:00,2,0,0,NA,"N","SIDESWIPE - SAME DIRECTION","RAIN","DARK - LIGHTED","MM 215 0 I 40","NASHVILLE","HERMIT",36.14144,-86.66964,"MOTOR VEHICLE IN TRANSPORT","37214","2018","January","Winter","02","Friday","Weekday","No Injuries","No Fatalities"
9.97026271261927e-314,2018-01-12 02:21:00,2,0,0,NA,"Y","SIDESWIPE - SAME DIRECTION","RAIN","DARK - LIGHTED","MM 211 0 I 40","NASHVILLE","HERMIT",36.15437,-86.75978,"MOTOR VEHICLE IN TRANSPORT","37210","2018","January","Winter","02","Friday","Weekday","No Injuries","No Fatalities"
9.9702627136074e-314,2018-01-12 02:32:00,2,1,0,NA,"N","Front to Rear","RAIN","DARK - NOT LIGHTED","CHEYENNE BLVD & AIDEEN PL","MADISON","MADISO",36.25499,-86.673,"MOTOR VEHICLE IN TRANSPORT","37115","2018","January","Winter","02","Friday","Weekday","Injuries","No Fatalities"
9.97026273831069e-314,2018-01-12 02:49:00,2,0,0,NA,"N","ANGLE","RAIN","DARK - LIGHTED","DICKERSON PKE & MAPLEWOOD TRC","NASHVILLE","EAST",36.23271,-86.75872,"MOTOR VEHICLE IN TRANSPORT","37216","2018","January","Winter","02","Friday","Weekday","No Injuries","No Fatalities"
9.97026281736119e-314,2018-01-12 03:33:00,2,0,0,NA,"Y","SIDESWIPE - SAME DIRECTION","RAIN","DARK - LIGHTED","CENTRAL PKE & OLD HICKORY BLVD","HERMITAGE","HERMIT",36.17359,-86.60215,"MOTOR VEHICLE IN TRANSPORT","37076","2018","January","Winter","03","Friday","Weekday","No Injuries","No Fatalities"
9.97026283910008e-314,2018-01-12 03:50:00,2,0,0,NA,"Y","Front to Rear","RAIN","DARK - LIGHTED","NOLENSVILLE PKE & HARDING PL","NASHVILLE","SOUTH",36.0796,-86.72632,"MOTOR VEHICLE IN TRANSPORT","37211","2018","January","Winter","03","Friday","Weekday","No Injuries","No Fatalities"
9.97026290530487e-314,2018-01-12 04:11:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - NOT LIGHTED","MM 198 6 I 40","NASHVILLE","WEST",36.10429,-86.93207,"CONCRETE TRAFFIC BARRIER","37221","2018","January","Winter","04","Friday","Weekday","No Injuries","No Fatalities"
9.97026291419806e-314,2018-01-12 02:45:00,2,0,0,NA,"N","SIDESWIPE - SAME DIRECTION","RAIN","DARK - LIGHTED","OLD HICKORY BLVD & STONE BROOK DR","BRENTWOOD","MIDTOW",36.0409,-86.77938,"MOTOR VEHICLE IN TRANSPORT","37027","2018","January","Winter","02","Friday","Weekday","No Injuries","No Fatalities"
9.97026291518619e-314,2018-01-12 04:45:00,2,0,0,NA,"N","ANGLE","RAIN","DARK - LIGHTED","CHARLOTTE AV & 14TH AVN","NASHVILLE","NORTH",36.16059,-86.79405,"MOTOR VEHICLE IN TRANSPORT","37203","2018","January","Winter","04","Friday","Weekday","No Injuries","No Fatalities"
9.97026292062091e-314,2018-01-12 04:57:00,1,0,0,NA,"Y","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","TUSCULUM RD & TUSCULUM SQUARE DR","NASHVILLE","MIDTOW",36.05867,-86.71763,"DITCH","37211","2018","January","Winter","04","Friday","Weekday","No Injuries","No Fatalities"
9.97026299868328e-314,2018-01-12 05:56:00,1,1,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - NOT LIGHTED","MM 2 3 I 440","NASHVILLE","WEST",36.12608,-86.81421,"GUARDRAIL END;Ran Off Road-Left;Cross Median;EMBANKMENT EARTH","37215","2018","January","Winter","05","Friday","Weekday","Injuries","No Fatalities"
9.9702630199281e-314,2018-01-12 06:12:00,2,1,0,NA,"N","ANGLE","RAIN","DARK - LIGHTED","5TH AVN & UNION ST","NASHVILLE","CENTRA",36.16451,-86.78106,"MOTOR VEHICLE IN TRANSPORT","37219","2018","January","Winter","06","Friday","Weekday","Injuries","No Fatalities"
9.97026302684502e-314,2018-01-12 06:18:00,2,1,0,NA,"Y","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","I440 E EXT RAMP & I 440","NASHVILLE","WEST",36.1234,-86.80953,"MOTOR VEHICLE IN TRANSPORT;H-WAY TRAFFIC SIGNAL POST","37205","2018","January","Winter","06","Friday","Weekday","Injuries","No Fatalities"
9.97026310441333e-314,2018-01-12 07:25:00,2,2,0,NA,"N","ANGLE","RAIN","DARK - LIGHTED","20TH AVS & WEST END AV","NASHVILLE","MIDTOW",36.15137,-86.79933,"MOTOR VEHICLE IN TRANSPORT;BUILDING;OTHER FIXED OBJECTS","37203","2018","January","Winter","07","Friday","Weekday","Injuries","No Fatalities"
9.97026310885992e-314,2018-01-12 07:23:00,2,0,0,NA,"Y","ANGLE","RAIN","DARK - LIGHTED","BELL RD & CEDAR POINTE PKWY","ANTIOCH","SOUTH",36.04496,-86.66513,"PARKED MOTOR VEHICLE","37013","2018","January","Winter","07","Friday","Weekday","No Injuries","No Fatalities"
9.97026314048012e-314,2018-01-12 06:00:00,1,0,0,NA,"Y","UNKNOWN","RAIN","DARK - LIGHTED","OLD HARDING PKE & BEECH BEND DR","NASHVILLE","WEST",36.06232,-86.94274,"UNKNOWN MOST HARMFUL EVENT","37221","2018","January","Winter","06","Friday","Weekday","No Injuries","No Fatalities"
9.97026330105146e-314,2018-01-12 10:02:00,2,1,0,NA,"N","SIDESWIPE - SAME DIRECTION","RAIN","DARK - NOT LIGHTED","MM 61 2 I 24","ANTIOCH","SOUTH",36.02792,-86.63582,"MOTOR VEHICLE IN TRANSPORT","37013","2018","January","Winter","10","Friday","Weekday","Injuries","No Fatalities"
9.9702633292132e-314,2018-01-12 10:30:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","PARAGON MILLS RD & TRAVIS DR","NASHVILLE","SOUTH",36.08642,-86.72531,"UTILITY POLE;CURB;WALL","37211","2018","January","Winter","10","Friday","Weekday","No Injuries","No Fatalities"
9.97026333563605e-314,2018-01-12 10:20:00,1,0,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","MM 56 7 I 24","NASHVILLE","SOUTH",36.07254,-86.69162,"EMBANKMENT ROCK/STONE/CONCRETE","37211","2018","January","Winter","10","Friday","Weekday","No Injuries","No Fatalities"
9.97026339937052e-314,2018-01-12 11:00:00,2,0,0,NA,"N","ANGLE","RAIN","DAWN","BELL RD & CAMBRIDGE APTS PVTDR","ANTIOCH","SOUTH",36.05973,-86.64094,"MOTOR VEHICLE IN TRANSPORT","37013","2018","January","Winter","11","Friday","Weekday","No Injuries","No Fatalities"
9.9702634398839e-314,2018-01-12 12:50:00,2,0,0,NA,"N","ANGLE","RAIN","DAWN","GALLATIN PKES & MADISON SQ","MADISON","MADISO",36.2528,-86.71709,"MOTOR VEHICLE IN TRANSPORT","37115","2018","January","Winter","12","Friday","Weekday","No Injuries","No Fatalities"
9.97026351448782e-314,2018-01-12 11:00:00,1,0,0,NA,"Y","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","REEVES RD & PAYNE RD","ANTIOCH","SOUTH",36.06521,-86.67483,"CULVERT;Ran Off Road-Right","37013","2018","January","Winter","11","Friday","Weekday","No Injuries","No Fatalities"
9.97026381339753e-314,2018-01-12 06:00:00,2,0,0,NA,"N","ANGLE","RAIN","DAYLIGHT","CHARLOTTE AV & YMCA WAY","NASHVILLE","CENTRA",36.16387,-86.78662,"MOTOR VEHICLE IN TRANSPORT","37203","2018","January","Winter","06","Friday","Weekday","No Injuries","No Fatalities"
9.97028761797441e-314,2018-10-15 00:22:00,2,1,0,NA,"N","Front to Rear","RAIN","DARK - NOT LIGHTED","MM 79 7 I 65","NASHVILLE","MIDTOW",36.11026,-86.77048,"MOTOR VEHICLE IN TRANSPORT","37204","2018","October","Fall","00","Monday","Weekday","Injuries","No Fatalities"
9.97030652240822e-314,2018-02-07 12:45:00,2,0,0,NA,"N","Front to Rear","RAIN","DAYLIGHT","OLD HICKORY BLVD & CANE RIDGE RD","ANTIOCH","SOUTH",36.00024,-86.63589,"MOTOR VEHICLE IN TRANSPORT","37013","2018","February","Winter","12","Wednesday","Weekday","No Injuries","No Fatalities"
9.9703108415301e-314,2018-02-10 04:30:00,2,0,0,NA,"N","SIDESWIPE - SAME DIRECTION","RAIN","Dark-Unknown Lighting","MM 205 1 I 40","NASHVILLE","WEST",36.15398,-86.83638,"MOTOR VEHICLE IN TRANSPORT","37209","2018","February","Winter","04","Saturday","Weekend","No Injuries","No Fatalities"
9.97031088204348e-314,2018-02-09 06:00:00,1,0,0,NA,"Y","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","BUENA VISTA PKE & BEALS LN","NASHVILLE","NORTH",36.23559,-86.82693,"UTILITY POLE","37218","2018","February","Winter","06","Friday","Weekday","No Injuries","No Fatalities"
9.97031089735952e-314,2018-02-10 05:25:00,1,1,0,NA,"N","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","RAIN","DARK - LIGHTED","HIGHWAY 100 & HARPETH GLEN CONDOS PVTDR","NASHVILLE","WEST",36.07597,-86.88954,"DITCH","37221","2018","February","Winter","05","Saturday","Weekend","Injuries","No Fatalities"
